sim_anneal_select with changing tournament size and annealing rate
Tournament Size, Annealing Rate, Area
21.000000,0.050000,56115.000000
21.000000,0.100000,47810.000000
21.000000,0.150000,50567.000000
21.000000,0.200000,50567.000000
21.000000,0.250000,38785.000000
21.000000,0.300000,38785.000000
21.000000,0.350000,49160.000000
21.000000,0.400000,50724.000000
21.000000,0.450000,51435.000000
21.000000,0.500000,58737.000000
21.000000,0.550000,53897.000000
21.000000,0.600000,42941.000000
21.000000,0.650000,43402.000000
21.000000,0.700000,42922.000000
21.000000,0.750000,37650.000000
21.000000,0.800000,52974.000000
21.000000,0.850000,50130.000000
21.000000,0.900000,43678.000000
21.000000,0.950000,46138.000000
22.000000,0.000000,43890.000000
22.000000,0.050000,44193.000000
22.000000,0.100000,44193.000000
22.000000,0.150000,40980.000000
22.000000,0.200000,56303.000000
22.000000,0.250000,36955.000000
22.000000,0.300000,52506.000000
22.000000,0.350000,52589.000000
22.000000,0.400000,51323.000000
22.000000,0.450000,49780.000000
22.000000,0.500000,43852.000000
22.000000,0.550000,56644.000000
22.000000,0.600000,47227.000000
22.000000,0.650000,60447.000000
22.000000,0.700000,65742.000000
22.000000,0.750000,43425.000000
22.000000,0.800000,34340.000000
22.000000,0.850000,53660.000000
22.000000,0.900000,49096.000000
22.000000,0.950000,60565.000000
23.000000,0.000000,43537.000000
23.000000,0.050000,43537.000000
23.000000,0.100000,52115.000000
23.000000,0.150000,45384.000000
23.000000,0.200000,40542.000000
23.000000,0.250000,40542.000000
23.000000,0.300000,40403.000000
23.000000,0.350000,40399.000000
23.000000,0.400000,61311.000000
23.000000,0.450000,42776.000000
23.000000,0.500000,50326.000000
23.000000,0.550000,47977.000000
23.000000,0.600000,53134.000000
23.000000,0.650000,37680.000000
23.000000,0.700000,46947.000000
23.000000,0.750000,36149.000000
23.000000,0.800000,33821.000000
23.000000,0.850000,39020.000000
23.000000,0.900000,49393.000000
23.000000,0.950000,51683.000000
24.000000,0.000000,64730.000000
24.000000,0.050000,46069.000000
24.000000,0.100000,37197.000000
24.000000,0.150000,37276.000000
24.000000,0.200000,36944.000000
24.000000,0.250000,45416.000000
24.000000,0.300000,43530.000000
24.000000,0.350000,33756.000000
24.000000,0.400000,40044.000000
24.000000,0.450000,35003.000000
24.000000,0.500000,53779.000000
24.000000,0.550000,63681.000000
24.000000,0.600000,41492.000000
24.000000,0.650000,49372.000000
24.000000,0.700000,63581.000000
24.000000,0.750000,48265.000000
24.000000,0.800000,60650.000000
24.000000,0.850000,48877.000000
24.000000,0.900000,41171.000000
24.000000,0.950000,46288.000000
25.000000,0.000000,64699.000000
25.000000,0.050000,58033.000000
25.000000,0.100000,61021.000000
25.000000,0.150000,58155.000000
25.000000,0.200000,59028.000000
25.000000,0.250000,50385.000000
25.000000,0.300000,55778.000000
25.000000,0.350000,54664.000000
25.000000,0.400000,54664.000000
25.000000,0.450000,58768.000000
25.000000,0.500000,49763.000000
25.000000,0.550000,55388.000000
25.000000,0.600000,32161.000000
25.000000,0.650000,44567.000000
25.000000,0.700000,37764.000000
25.000000,0.750000,44205.000000
25.000000,0.800000,46701.000000
25.000000,0.850000,39565.000000
25.000000,0.900000,46267.000000
25.000000,0.950000,59767.000000
26.000000,0.000000,39944.000000
26.000000,0.050000,36881.000000
26.000000,0.100000,39283.000000
